Recipe Name,Ingredients,Quantity,Instructions,Cuisine,Diet,Meal Type
Falafel Wrap,"chickpeas, flour, spices, pita bread","200g chickpeas, 100g flour, 1 tsp cumin, 4 pita bread","Fry falafel and wrap in pita with veggies.",Other,Vegan,Snack
Caesar Salad,"romaine lettuce, croutons, Caesar dressing","100g romaine lettuce, 50g croutons, 2 tbsp Caesar dressing","Toss lettuce with dressing and croutons.",Western,Vegetarian,Snack
Sushi,"sushi rice, nori, fish/vegetables, soy sauce","200g sushi rice, 5 sheets nori, 100g fish/vegetables, 2 tbsp soy sauce","Roll sushi with fillings and serve with soy sauce.",Japanese,Non-Vegetarian,Lunch
Ramen,"ramen noodles, broth, pork/vegetables, green onions","200g ramen noodles, 500ml broth, 150g pork/vegetables, 2 green onions","Cook noodles in broth with toppings.",Japanese,Non-Vegetarian,Dinner
Tacos,"taco shells, ground meat/beans, cheese, lettuce, salsa","4 taco shells, 200g ground meat/beans, 50g cheese, 50g lettuce, 2 tbsp salsa","Fill taco shells with ingredients and serve.",Mexican,Non-Vegetarian,Lunch
Guacamole,"avocado, lime, onion, cilantro, salt","2 avocados, 1 lime, 1 onion, 2 tbsp cilantro, 1 tsp salt","Mash avocado with ingredients and serve with chips.",Mexican,Vegan,Snack
Paella,"rice, seafood/chicken, saffron, vegetables","200g rice, 300g seafood/chicken, 1 tsp saffron, 100g vegetables","Cook rice with saffron and seafood/chicken.",Spanish,Non-Vegetarian,Dinner
Gazpacho,"tomatoes, cucumber, bell pepper, olive oil","3 tomatoes, 1 cucumber, 1 bell pepper, 2 tbsp olive oil","Blend vegetables and chill before serving.",Spanish,Vegan,Appetizer
Baklava,"phyllo pastry, nuts, honey, cinnamon","200g phyllo pastry, 100g nuts, 2 tbsp honey, 1 tsp cinnamon","Layer phyllo with nuts and honey, bake until golden.",Middle Eastern,Vegan,Dessert
Hummus,"chickpeas, tahini, garlic, lemon juice","200g chickpeas, 2 tbsp tahini, 2 cloves garlic, 2 tbsp lemon juice","Blend ingredients to make a smooth dip.",Middle Eastern,Vegan,Snack
Biryani,"rice, meat/vegetables, spices, yogurt","200g rice, 300g meat/vegetables, 1 tbsp spices, 100g yogurt","Layer rice with marinated meat/vegetables and cook.",Indian,Non-Vegetarian,Dinner
Paneer Tikka,"paneer, yogurt, spices, bell peppers","200g paneer, 100g yogurt, 1 tsp spices, 1 bell pepper","Marinate paneer and grill with vegetables.",Indian,Vegetarian,Snack
Samosa,"flour, potatoes, peas, spices","200g flour, 3 potatoes, 100g peas, 1 tsp spices","Make dough, fill with spiced filling, and fry.",Indian,Vegetarian,Snack
Dhokla,"gram flour, yogurt, spices","200g gram flour, 100g yogurt, 1 tsp spices","Steam spiced gram flour batter until fluffy.",Indian,Vegetarian,Snack
Pani Puri,"semolina, potatoes, chickpeas, spices","100g semolina, 3 potatoes, 100g chickpeas, 1 tsp spices","Make puris, fill with spiced water and serve.",Indian,Vegetarian,Snack
Kofta Curry,"minced meat/vegetables, spices, yogurt, tomato","200g minced meat/vegetables, 1 tsp spices, 100g yogurt, 2 tomatoes","Make koftas, cook in spicy gravy.",Indian,Non-Vegetarian,Dinner
Dal Makhani,"black lentils, butter, cream, spices","200g black lentils, 2 tbsp butter, 100ml cream, 1 tsp spices","Slow cook lentils with butter and cream.",Indian,Vegetarian,Dinner
Rogan Josh,"lamb, yogurt, spices, onion","300g lamb, 100g yogurt, 1 tsp spices, 1 onion","Cook lamb in yogurt and spices until tender.",Indian,Non-Vegetarian,Dinner
Fish Curry,"fish, coconut milk, spices, onion","300g fish, 200ml coconut milk, 1 tsp spices, 1 onion","Cook fish in coconut milk with spices.",Indian,Non-Vegetarian,Dinner
Vegetable Biryani,"rice, mixed vegetables, spices, yogurt","200g rice, 200g mixed vegetables, 1 tbsp spices, 100g yogurt","Layer rice with vegetables and cook.",Indian,Vegetarian,Dinner
Aloo Gobi,"potato, cauliflower, spices, turmeric","4 potatoes, 1 cauliflower, 1 tsp spices, 1 tsp turmeric","Cook potatoes and cauliflower with spices.",Indian,Vegetarian,Lunch
Bhindi Masala,"okra, onion, spices, tomato","100g okra, 1 onion, 1 tsp spices, 2 tomatoes","Stir fry okra with spices and onion.",Indian,Vegetarian,Lunch
Chana Masala,"chickpeas, tomato, onion, spices","200g chickpeas, 2 tomatoes, 1 onion, 1 tsp spices","Cook chickpeas in spiced tomato gravy.",Indian,Vegetarian,Dinner
Mutton Curry,"mutton, spices, yogurt, onion","300g mutton, 1 tsp spices, 100g yogurt, 1 onion","Cook mutton in yogurt and spices until tender.",Indian,Non-Vegetarian,Dinner
Egg Curry,"eggs, tomato, onion, spices","4 eggs, 2 tomatoes, 1 onion, 1 tsp spices","Boil eggs and cook in spiced tomato gravy.",Indian,Vegetarian,Dinner
Paneer Butter Masala,"paneer, tomato, butter, cream, spices","200g paneer, 2 tomatoes, 2 tbsp butter, 100ml cream, 1 tsp spices","Cook paneer in creamy tomato gravy.",Indian,Vegetarian,Dinner
Vegetable Curry,"mixed vegetables, spices, coconut milk","200g mixed vegetables, 1 tsp spices, 200ml coconut milk","Cook mixed vegetables in spiced coconut milk.",Indian,Vegetarian,Dinner
Khichdi,"rice, lentils, spices, vegetables","100g rice, 100g lentils, 1 tsp spices, 200g vegetables","Cook rice and lentils with spices and vegetables.",Indian,Vegetarian,Lunch
Pulao,"rice, vegetables, spices, nuts","200g rice, 100g vegetables, 1 tsp spices, 50g nuts","Cook rice with vegetables and spices.",Indian,Vegetarian,Dinner
Rajma,"kidney beans, tomato, onion, spices","200g kidney beans, 2 tomatoes, 1 onion, 1 tsp spices","Cook kidney beans in spiced tomato gravy.",Indian,Vegetarian,Dinner
Methi Thepla,"fenugreek leaves, flour, spices","50g fenugreek leaves, 100g flour, 1 tsp spices","Make flatbreads with fenugreek and spices.",Indian,Vegetarian,Snack
Daal Tadka,"lentils, spices, ghee, onion","200g lentils, 1 tsp spices, 2 tbsp ghee, 1 onion","Cook lentils with spices and temper with ghee.",Indian,Vegetarian,Dinner
Pesarattu,"green gram, rice, spices","100g green gram, 100g rice, 1 tsp spices","Make dosa with green gram and rice batter.",Indian,Vegetarian,Breakfast
Idli,"rice, urad dal, fermentation","200g rice, 100g urad dal","Steam fermented rice and urad dal batter.",Indian,Vegetarian,Breakfast
Dosa,"rice, urad dal, fermentation","200g rice, 100g urad dal","Make crispy crepes with fermented batter.",Indian,Vegetarian,Breakfast
Uttapam,"rice, urad dal, vegetables","200g rice, 100g urad dal, 50g vegetables","Make thick pancakes with fermented batter and vegetables.",Indian,Vegetarian,Breakfast
Upma,"semolina, vegetables, spices","100g semolina, 100g vegetables, 1 tsp spices","Cook semolina with vegetables and spices.",Indian,Vegetarian,Breakfast
Poha,"flattened rice, onion, mustard seeds, turmeric, peas","200g flattened rice, 1 onion, 1 tsp mustard seeds, 1 tsp turmeric, 100g peas","Cook flattened rice with spices and vegetables.",Indian,Vegetarian,Breakfast
Aloo Paratha,"potato, flour, spices","3 potatoes, 200g flour, 1 tsp spices","Make stuffed flatbreads with spiced potato filling.",Indian,Vegetarian,Breakfast
Paneer Paratha,"paneer, flour, spices","100g paneer, 200g flour, 1 tsp spices","Make stuffed flatbreads with spiced paneer filling.",Indian,Vegetarian,Breakfast
Methi Paratha,"fenugreek leaves, flour, spices","50g fenugreek leaves, 200g flour, 1 tsp spices","Make flatbreads with fenugreek and spices.",Indian,Vegetarian,Breakfast
Baida Roti,"egg, flour, spices","2 eggs, 200g flour, 1 tsp spices","Make stuffed flatbreads with spiced egg filling.",Indian,Non-Vegetarian,Breakfast
Kathi Roll,"roti, vegetables/meat, sauces","2 roti, 200g vegetables/meat, 2 tbsp sauces","Wrap roti with filling and sauces.",Indian,Non-Vegetarian,Lunch
Burger,"burger bun, patty, lettuce, tomato, cheese","2 burger buns, 1 patty, 50g lettuce, 1 tomato, 2 slices cheese","Assemble burger with patty and toppings.",Western,Non-Vegetarian,Lunch
Pizza,"pizza base, cheese, tomato sauce, toppings","1 pizza base, 100g cheese, 2 tbsp tomato sauce, 100g toppings","Bake pizza with cheese and toppings.",Western,Vegetarian,Dinner
Lasagna,"pasta sheets, cheese, meat/vegetables, tomato sauce","200g pasta sheets, 100g cheese, 200g meat/vegetables, 2 tbsp tomato sauce","Layer pasta with cheese and sauce, bake until golden.",Western,Non-Vegetarian,Dinner
Spaghetti,"spaghetti, tomato sauce, garlic, herbs","200g spaghetti, 2 tbsp tomato sauce, 3 cloves garlic, 1 tsp herbs","Cook spaghetti and toss with sauce.",Western,Vegetarian,Dinner
Fried Rice,"rice, vegetables, soy sauce, eggs","200g rice, 100g vegetables, 2 tbsp soy sauce, 2 eggs","Stir fry rice with vegetables and soy sauce.",Chinese,Vegetarian,Lunch
Kung Pao Chicken,"chicken, peanuts, vegetables, soy sauce","300g chicken, 50g peanuts, 100g vegetables, 2 tbsp soy sauce","Stir fry chicken with peanuts and vegetables.",Chinese,Non-Vegetarian,Dinner
Sweet and Sour Pork,"pork, pineapple, bell pepper, soy sauce","300g pork, 100g pineapple, 1 bell pepper, 2 tbsp soy sauce","Cook pork with sweet and sour sauce.",Chinese,Non-Vegetarian,Dinner
Mapo Tofu,"tofu, ground pork, chili bean paste, garlic","200g tofu, 100g ground pork, 2 tbsp chili bean paste, 2 cloves garlic","Cook tofu with ground pork and spices.",Chinese,Non-Vegetarian,Dinner
Egg Fried Rice,"rice, eggs, vegetables, soy sauce","200g rice, 2 eggs, 100g vegetables, 2 tbsp soy sauce","Stir fry rice with eggs and vegetables.",Chinese,Vegetarian,Lunch
Hot and Sour Soup,"tofu, mushrooms, bamboo shoots, vinegar","200g tofu, 100g mushrooms, 50g bamboo shoots, 2 tbsp vinegar","Simmer ingredients in broth with vinegar.",Chinese,Vegan,Lunch
Dim Sum,"dumpling wrappers, meat/vegetables, soy sauce","50 dumpling wrappers, 200g meat/vegetables, 2 tbsp soy sauce","Steam dumplings with filling and serve.",Chinese,Non-Vegetarian,Snack
Spring Rolls,"spring roll wrappers, vegetables, soy sauce","20 spring roll wrappers, 100g vegetables, 2 tbsp soy sauce","Fill wrappers with vegetables, roll and fry.",Chinese,Vegan,Snack
Banh Mi,"baguette, pickled vegetables, meat/tofu, cilantro, chili sauce","2 baguettes, 100g pickled vegetables, 150g meat/tofu, 2 tbsp cilantro, 1 tbsp chili sauce","Assemble baguette with fillings and sauces.",Vietnamese,Non-Vegetarian,Lunch
Pho,"rice noodles, broth, meat/vegetables, herbs","200g rice noodles, 500ml broth, 150g meat/vegetables, 50g herbs","Cook noodles in broth with toppings.",Vietnamese,Non-Vegetarian,Dinner
Ceviche,"fish, lime juice, onion, cilantro, chili","200g fish, 2 tbsp lime juice, 1 onion, 2 tbsp cilantro, 1 chili","Marinate fish in lime juice with vegetables.",Peruvian,Non-Vegetarian,Appetizer
Lomo Saltado,"beef, tomatoes, onions, soy sauce","200g beef, 2 tomatoes, 1 onion, 2 tbsp soy sauce","Stir fry beef with vegetables and soy sauce.",Peruvian,Non-Vegetarian,Dinner
Causa,"potatoes, lime, avocado, tuna","4 potatoes, 1 lime, 1 avocado, 100g tuna","Layer mashed potatoes with avocado and tuna.",Peruvian,Vegetarian,Dinner
Tiradito,"fish, lime juice, chili, sweet potato","200g fish, 2 tbsp lime juice, 1 chili, 2 sweet potatoes","Marinate fish in lime juice with chili and serve with sweet potato.",Peruvian,Non-Vegetarian,Appetizer
Arroz con Pollo,"rice, chicken, vegetables, spices","200g rice, 300g chicken, 100g vegetables, 1 tsp spices","Cook rice with chicken and vegetables.",Peruvian,Non-Vegetarian,Dinner
Anticuchos,"beef heart, vinegar, spices, skewers","200g beef heart, 2 tbsp vinegar, 1 tsp spices","Grill marinated beef heart skewers.",Peruvian,Non-Vegetarian,Snack
Pisco Sour,"pisco, lime juice, simple syrup, egg white","50ml pisco, 2 tbsp lime juice, 2 tbsp simple syrup, 1 egg white","Shake ingredients and serve chilled.",Peruvian,Cocktail,Drink
Chicha Morada,"purple corn, pineapple, cinnamon, cloves","200g purple corn, 100g pineapple, 1 tsp cinnamon, 2 cloves","Boil ingredients and strain to make a drink.",Peruvian,Vegan,Drink
Causa Rellena,"potatoes, avocado, tuna, lime","4 potatoes, 1 avocado, 100g tuna, 1 lime","Layer mashed potatoes with avocado and tuna.",Peruvian,Vegetarian,Dinner
Tacu Tacu,"rice, beans, spices","200g rice, 100g beans, 1 tsp spices","Fry rice and beans with spices.",Peruvian,Vegetarian,Dinner
Seco de Cordero,"lamb, cilantro, beer, spices","300g lamb, 2 tbsp cilantro, 200ml beer, 1 tsp spices","Cook lamb in beer and cilantro sauce.",Peruvian,Non-Vegetarian,Dinner
Ají de Gallina,"chicken, ají amarillo, bread, milk","300g chicken, 1 tbsp ají amarillo, 2 slices bread, 200ml milk","Cook shredded chicken in ají sauce with bread and milk.",Peruvian,Non-Vegetarian,Dinner
Sopa Seca,"spaghetti, cilantro, spices, vegetables","200g spaghetti, 1 tbsp cilantro, 1 tsp spices, 100g vegetables","Cook spaghetti with cilantro and spices.",Peruvian,Vegetarian,Dinner
Arroz Chaufa,"rice, chicken/vegetables, soy sauce, eggs","200g rice, 100g chicken/vegetables, 2 tbsp soy sauce, 2 eggs","Stir fry rice with chicken/vegetables and soy sauce.",Peruvian,Non-Vegetarian,Lunch
Pollo a la Brasa,"chicken, spices, wood chips","1 chicken, 2 tbsp spices, 100g wood chips","Grill marinated chicken with wood chips.",Peruvian,Non-Vegetarian,Dinner
Tarta de Santiago,"almonds, sugar, eggs, lemon","200g almonds, 100g sugar, 2 eggs, 1 lemon","Bake almond cake and dust with powdered sugar.",Spanish,Vegetarian,Dessert
Pulpo a la Gallega,"octopus, potatoes, paprika, olive oil","300g octopus, 4 potatoes, 1 tsp paprika, 2 tbsp olive oil","Boil octopus, serve with potatoes and paprika.",Spanish,Non-Vegetarian,Dinner
Calamares en Salsa,"squid, tomato, onion, spices","200g squid, 2 tomatoes, 1 onion, 1 tsp spices","Cook squid in tomato sauce with spices.",Spanish,Non-Vegetarian,Dinner
Berenjenas Rellenas,"eggplant, ground meat, tomato, cheese","200g eggplant, 300g ground meat, 2 tomatoes, 100g cheese","Bake eggplants stuffed with meat and cheese.",Spanish,Non-Vegetarian,Dinner
Albondigas,"meatballs, tomato sauce, spices","200g meatballs, 200ml tomato sauce, 1 tsp spices","Cook meatballs in tomato sauce.",Spanish,Non-Vegetarian,Dinner
Arroz con Leche,"rice, milk, sugar, cinnamon","200g rice, 500ml milk, 100g sugar, 1 tsp cinnamon","Cook rice in milk with sugar and cinnamon.",Spanish,Vegetarian,Dessert
Flan,"milk, sugar, eggs, vanilla","500ml milk, 100g sugar, 4 eggs, 1 tsp vanilla","Bake custard and caramelize top.",Spanish,Vegetarian,Dessert
Paella Valenciana,"rice, chicken, rabbit, vegetables, saffron","200g rice, 150g chicken, 150g rabbit, 100g vegetables, 1 tsp saffron","Cook rice with saffron and meats.",Spanish,Non-Vegetarian,Dinner
Tortilla de Patatas,"potatoes, eggs, onion","4 potatoes, 4 eggs, 1 onion","Cook potatoes and onion, mix with eggs and fry.",Spanish,Vegetarian,Dinner
Croquetas,"flour, milk, ham/vegetables, breadcrumbs","200g flour, 100ml milk, 100g ham/vegetables, 50g breadcrumbs","Make croquettes with filling and breadcrumbs.",Spanish,Vegetarian,Snack
Churros,"flour, sugar, cinnamon, chocolate","200g flour, 100g sugar, 1 tsp cinnamon, 100g chocolate","Fry dough and serve with chocolate sauce.",Spanish,Vegetarian,Dessert
Flan,"milk, sugar, eggs, vanilla","500ml milk, 100g sugar, 4 eggs, 1 tsp vanilla","Bake custard and caramelize top.",Spanish,Vegetarian,Dessert
Paella Valenciana,"rice, chicken, rabbit, vegetables, saffron","200g rice, 150g chicken, 150g rabbit, 100g vegetables, 1 tsp saffron","Cook rice with saffron and meats.",Spanish,Non-Vegetarian,Dinner
Tortilla de Patatas,"potatoes, eggs, onion","4 potatoes, 4 eggs, 1 onion","Cook potatoes and onion, mix with eggs and fry.",Spanish,Vegetarian,Dinner
Pisto,"vegetables, tomato, olive oil","200g vegetables, 2 tomatoes, 2 tbsp olive oil","Cook vegetables in olive oil and serve.",Spanish,Vegan,Lunch
Luchi Alur Dom,"maida, potato, tomato, ginger, garam masala, salt, oil","2 cups maida, 3 medium potatoes, 1 tomato, 1 tsp grated ginger, 1/2 tsp garam masala, salt to taste, oil for frying","Knead maida with water and a pinch of salt into soft dough. Rest 20 mins. Roll into small discs and deep fry into puffed luchis. For alur dom, boil potatoes and cut into cubes. Sauté tomatoes and ginger in oil, add potatoes, garam masala, and cook covered for 10 minutes.",Bengali,Vegetarian,Breakfast
Begun Bhaja,"eggplant, turmeric, salt, mustard oil","1 large eggplant, 1/2 tsp turmeric, salt to taste, 2 tbsp mustard oil","Slice eggplant into 1/2 inch rounds. Rub with turmeric and salt. Let rest 10 minutes. Heat mustard oil in a pan and shallow fry slices until golden on both sides. Serve hot.",Bengali,Vegan,Lunch
Macher Jhol,"rohu fish, potato, tomato, turmeric, mustard oil, salt","4 pieces rohu fish, 2 potatoes, 1 tomato, 1/2 tsp turmeric, salt to taste, 2 tbsp mustard oil","Marinate fish with salt and turmeric. Fry lightly and set aside. In mustard oil, fry sliced potatoes and tomato. Add turmeric and water to make gravy. Add fish and simmer covered for 10 minutes until cooked.",Bengali,Non-Vegetarian,Lunch
Cholar Dal,"chana dal, coconut, ginger, bay leaf, ghee, salt","1 cup chana dal, 2 tbsp grated coconut, 1 tsp grated ginger, 1 bay leaf, 1 tbsp ghee, salt to taste","Boil chana dal until soft. In ghee, sauté bay leaf and ginger. Add coconut and stir. Pour in cooked dal, season with salt, and simmer for 5–7 minutes. Serve warm.",Bengali,Vegetarian,Dinner
Mishti Doi,"milk, sugar, yogurt","1 liter full-fat milk, 1/2 cup sugar, 2 tbsp plain yogurt","Boil milk and reduce to 3/4th. Add caramelized sugar and cool until lukewarm. Stir in yogurt and pour into clay pots. Cover and let set in a warm place for 6–8 hours or overnight.",Bengali,Vegetarian,Dessert
Patishapta,"flour, rice flour, coconut, jaggery, milk, cardamom","1 cup flour, 1/4 cup rice flour, 1 cup grated coconut, 1/2 cup jaggery, 1 cup milk, 1/2 tsp cardamom powder","Make batter with flour, rice flour, and milk. For filling, cook coconut, jaggery, and cardamom powder in a pan until mixed. Make thin crepes on a non-stick pan, fill with coconut mix, roll and serve warm or chilled.",Bengali,Vegetarian,Snack
Shutki Bhuna,"dry fish, onion, garlic, chili, mustard oil, turmeric, salt","200g dry fish, 2 onions, 4 garlic cloves, 2 green chilies, 2 tbsp mustard oil, 1/2 tsp turmeric, salt to taste","Wash and soak dry fish briefly. Fry dry fish in mustard oil until crisp and set aside. In same pan, sauté chopped onion, garlic, and chilies. Add turmeric, salt, and fried fish. Cook for 10 minutes until well combined and aromatic.",Bengali,Non-Vegetarian,Dinner
Dhokar Dalna,"chana dal, ginger, asafoetida, tomato, garam masala, oil, salt","1 cup chana dal, 1 tsp grated ginger, pinch of asafoetida, 1 tomato, 1/2 tsp garam masala, 2 tbsp oil, salt to taste","Soak chana dal and grind to a paste. Cook with ginger, asafoetida, and salt. Spread and cool on a greased plate, then cut into squares. Fry until golden. For gravy, sauté tomato in oil, add garam masala, and water. Add fried lentil cakes and simmer for 10 minutes.",Bengali,Vegetarian,Lunch
Shukto,"bitter gourd, raw banana, potato, drumstick, mustard paste, milk, mustard oil","1 bitter gourd, 1 raw banana, 1 potato, 1 drumstick, 1 tbsp mustard paste, 1/4 cup milk, 2 tbsp mustard oil","Cut vegetables into sticks. Fry bitter gourd separately. In mustard oil, cook other vegetables. Add mustard paste, water, and simmer. Add milk at the end and stir gently. Cook until all veggies are soft but not mushy.",Bengali,Vegan,Lunch
Mochar Ghonto,"banana blossom, potato, coconut, mustard oil, spices, ginger, salt","1 banana blossom, 1 potato, 2 tbsp grated coconut, 2 tbsp mustard oil, 1/2 tsp panch phoron, 1 tsp grated ginger, salt to taste","Clean and boil chopped banana blossom. In mustard oil, fry potato cubes. Add panch phoron, ginger, and boiled mocha. Add salt and grated coconut. Cook covered for 10–12 minutes, stirring occasionally.",Bengali,Vegan,Lunch
Paturi,"bhetki fish, mustard paste, banana leaf, mustard oil, salt, green chili","4 pieces bhetki fish, 2 tbsp mustard paste, 2 banana leaves, 2 tbsp mustard oil, salt to taste, 2 green chilies","Marinate fish with mustard paste, salt, and green chili. Place each piece on a banana leaf brushed with oil, fold tightly. Steam or cook in covered pan for 15–20 minutes until fish is tender and infused with flavor.",Bengali,Non-Vegetarian,Lunch
Panta Bhaat,"leftover rice, onion, chili, salt, mustard oil, water","1 cup cooked rice, 1/2 onion (sliced), 1 green chili, salt to taste, 1 tsp mustard oil, water as needed","Soak leftover rice in water overnight. Drain slightly before serving. Top with sliced onion, chili, salt, and drizzle mustard oil. Traditionally served with fried fish or mashed veggies.",Bengali,Vegan,Breakfast
Dim Curry,"egg, onion, tomato, garlic, turmeric, chili powder, salt, oil","4 boiled eggs, 2 onions, 2 tomatoes, 2 garlic cloves, 1/2 tsp turmeric, 1/2 tsp chili powder, salt to taste, 2 tbsp oil","Boil and peel eggs. In oil, sauté chopped onions and garlic until golden. Add tomatoes, turmeric, chili powder, and salt. Cook till soft. Add eggs and simmer in the gravy for 8–10 minutes. Serve hot.",Bengali,Non-Vegetarian,Lunch
Kosha Mangsho,"mutton, onion, garlic, yogurt, spices, mustard oil, ginger, salt","500g mutton, 2 onions, 4 garlic cloves, 1/4 cup yogurt, 2 tbsp mustard oil, 1 tsp ginger paste, 1 tsp garam masala, salt to taste","Marinate mutton with yogurt, ginger-garlic paste, and spices for 1 hour. In mustard oil, fry onions till golden. Add marinated mutton and cook on medium heat, stirring often, for 1.5–2 hours until tender and gravy thickens.",Bengali,Non-Vegetarian,Dinner
Pui Shaak Chingri,"malabar spinach, prawn, mustard oil, spices, garlic, salt","2 cups chopped malabar spinach, 200g prawns, 2 tbsp mustard oil, 1/2 tsp turmeric, 1/2 tsp chili powder, 2 garlic cloves, salt to taste","Clean prawns and marinate with turmeric and salt. In mustard oil, sauté garlic, then add prawns and fry briefly. Add chopped pui shaak and spices. Cook covered for 10–12 minutes until soft and flavorful.",Bengali,Non-Vegetarian,Lunch
Kumro Chechki,"pumpkin, green chili, mustard seeds, mustard oil, salt","2 cups grated or finely chopped pumpkin, 2 green chilies, 1/2 tsp mustard seeds, 1 tbsp mustard oil, salt to taste","Heat mustard oil, splutter mustard seeds. Add pumpkin and chilies, stir well. Add salt and cook covered on low heat until soft. Serve warm with rice.",Bengali,Vegan,Lunch
Chingri Bhapa,"prawn, mustard paste, coconut, mustard oil, green chili, salt","300g prawns, 2 tbsp mustard paste, 2 tbsp grated coconut, 2 tbsp mustard oil, 2 green chilies, salt to taste","Mix prawns with mustard paste, coconut, mustard oil, salt, and slit green chilies. Place in a steel container or banana leaf and steam for 15–20 minutes until prawns are tender.",Bengali,Non-Vegetarian,Lunch
Gorom Bhaat O Ghee,"rice, ghee, salt","1 cup cooked rice, 1 tsp ghee, salt to taste","Serve hot steamed rice topped with a spoon of ghee and a pinch of salt. Enjoy as a simple comfort meal.",Bengali,Vegetarian,Lunch
Basanti Pulao,"gobindobhog rice, ghee, raisins, cashew, turmeric, sugar, bay leaf","1 cup gobindobhog rice, 2 tbsp ghee, 2 tbsp raisins, 2 tbsp cashew nuts, 1/4 tsp turmeric, 1 tbsp sugar, 1 bay leaf","Wash rice and soak 20 mins. Heat ghee, sauté bay leaf, cashew, and raisins. Add rice, turmeric, and sugar. Fry for 2 minutes, then add water (2 cups) and cook covered on low heat until rice is done.",Bengali,Vegetarian,Dinner
Enchorer Dalna,"raw jackfruit, potato, bay leaf, garam masala, ginger, turmeric, oil, salt","2 cups raw jackfruit (cubed), 1 potato, 1 bay leaf, 1 tsp garam masala, 1 tsp ginger paste, 1/2 tsp turmeric, 2 tbsp oil, salt to taste","Boil jackfruit cubes until soft. In oil, fry bay leaf, add potatoes and ginger paste. Add jackfruit, turmeric, salt. Cook for 5 mins, add water. Simmer covered. Sprinkle garam masala at the end.",Bengali,Vegetarian,Lunch
Pabda Jhol,"pabda fish, nigella seeds, green chili, mustard oil, turmeric, salt","4 pabda fish, 1/2 tsp nigella seeds, 2 green chilies, 2 tbsp mustard oil, 1/2 tsp turmeric, salt to taste","Rub fish with salt and turmeric, lightly fry in mustard oil. In same oil, add nigella seeds and green chili. Add water to form a light gravy. Add fish and simmer 10 minutes.",Bengali,Non-Vegetarian,Lunch
Ilish Bhapa,"hilsa, mustard paste, green chili, yogurt, mustard oil, salt","4 pieces hilsa, 2 tbsp mustard paste, 2 green chilies, 2 tbsp yogurt, 1 tbsp mustard oil, salt to taste","Mix mustard paste, yogurt, salt, oil, and green chili. Coat hilsa pieces and place in a covered steel container or banana leaf wrap. Steam for 15–20 minutes.",Bengali,Non-Vegetarian,Lunch
Postor Bora,"poppy seeds, green chili, salt, mustard oil, rice flour","4 tbsp poppy seeds, 1 green chili, salt to taste, 1 tsp rice flour, mustard oil for frying","Grind poppy seeds and chili into a coarse paste. Add salt and a little rice flour for binding. Shape small fritters and shallow fry in mustard oil until crispy.",Bengali,Vegetarian,Snack
