Recipe Name,Ingredients,Quantity,Instructions,Cuisine,Diet,Meal Type,Cleaned_Ingredients
Baklava,"phyllo pastry, nuts, honey, cinnamon","200g phyllo pastry, 100g nuts, 2 tbsp honey, 1 tsp cinnamon","Layer phyllo with nuts and honey, bake until golden.",middle eastern,vegan,dessert,phyllo_pastry nut honey cinnamon
Hummus,"chickpeas, tahini, garlic, lemon juice","200g chickpeas, 2 tbsp tahini, 2 cloves garlic, 2 tbsp lemon juice",Blend ingredients to make a smooth dip.,middle eastern,vegan,snack,chickpea tahini garlic lemon_juice
Biryani,"rice, meat/vegetables, spices, yogurt","200g rice, 300g meat/vegetables, 1 tbsp spices, 100g yogurt",Layer rice with marinated meat/vegetables and cook.,indian,non-vegetarian,dinner,rice meat_vegetable spice yogurt
Paneer Tikka,"paneer, yogurt, spices, bell peppers","200g paneer, 100g yogurt, 1 tsp spices, 1 bell pepper",Marinate paneer and grill with vegetables.,indian,vegetarian,snack,paneer yogurt spice capsicum
Samosa,"flour, potatoes, peas, spices","200g flour, 3 potatoes, 100g peas, 1 tsp spices","Make dough, fill with spiced filling, and fry.",indian,vegetarian,snack,flour potato pea spice
Dhokla,"gram flour, yogurt, spices","200g gram flour, 100g yogurt, 1 tsp spices",Steam spiced gram flour batter until fluffy.,indian,vegetarian,snack,gram_flour yogurt spice
Pani Puri,"semolina, potatoes, chickpeas, spices","100g semolina, 3 potatoes, 100g chickpeas, 1 tsp spices","Make puris, fill with spiced water and serve.",indian,vegetarian,snack,semolina potato chickpea spice
Kofta Curry,"minced meat/vegetables, spices, yogurt, tomato","200g minced meat/vegetables, 1 tsp spices, 100g yogurt, 2 tomatoes","Make koftas, cook in spicy gravy.",indian,non-vegetarian,dinner,mince_meat_vegetable spice yogurt tomato
Dal Makhani,"black lentils, butter, cream, spices","200g black lentils, 2 tbsp butter, 100ml cream, 1 tsp spices",Slow cook lentils with butter and cream.,indian,vegetarian,dinner,black_lentil butter cream spice
Rogan Josh,"lamb, yogurt, spices, onion","300g lamb, 100g yogurt, 1 tsp spices, 1 onion",Cook lamb in yogurt and spices until tender.,indian,non-vegetarian,dinner,lamb yogurt spice onion
Fish Curry,"fish, coconut milk, spices, onion","300g fish, 200ml coconut milk, 1 tsp spices, 1 onion",Cook fish in coconut milk with spices.,indian,non-vegetarian,dinner,fish coconut_milk spice onion
Vegetable Biryani,"rice, mixed vegetables, spices, yogurt","200g rice, 200g mixed vegetables, 1 tbsp spices, 100g yogurt",Layer rice with vegetables and cook.,indian,vegetarian,dinner,rice mix_vegetable spice yogurt
Aloo Gobi,"potato, cauliflower, spices, turmeric","4 potatoes, 1 cauliflower, 1 tsp spices, 1 tsp turmeric",Cook potatoes and cauliflower with spices.,indian,vegetarian,lunch,potato cauliflower spice turmeric
Bhindi Masala,"okra, onion, spices, tomato","100g okra, 1 onion, 1 tsp spices, 2 tomatoes",Stir fry okra with spices and onion.,indian,vegetarian,lunch,okra onion spice tomato
Chana Masala,"chickpeas, tomato, onion, spices","200g chickpeas, 2 tomatoes, 1 onion, 1 tsp spices",Cook chickpeas in spiced tomato gravy.,indian,vegetarian,dinner,chickpea tomato onion spice
Mutton Curry,"mutton, spices, yogurt, onion","300g mutton, 1 tsp spices, 100g yogurt, 1 onion",Cook mutton in yogurt and spices until tender.,indian,non-vegetarian,dinner,mutton spice yogurt onion
Egg Curry,"eggs, tomato, onion, spices","4 eggs, 2 tomatoes, 1 onion, 1 tsp spices",Boil eggs and cook in spiced tomato gravy.,indian,vegetarian,dinner,egg tomato onion spice
Paneer Butter Masala,"paneer, tomato, butter, cream, spices","200g paneer, 2 tomatoes, 2 tbsp butter, 100ml cream, 1 tsp spices",Cook paneer in creamy tomato gravy.,indian,vegetarian,dinner,paneer tomato butter cream spice
Vegetable Curry,"mixed vegetables, spices, coconut milk","200g mixed vegetables, 1 tsp spices, 200ml coconut milk",Cook mixed vegetables in spiced coconut milk.,indian,vegetarian,dinner,mix_vegetable spice coconut_milk
Khichdi,"rice, lentils, spices, vegetables","100g rice, 100g lentils, 1 tsp spices, 200g vegetables",Cook rice and lentils with spices and vegetables.,indian,vegetarian,lunch,rice lentil spice vegetable
Pulao,"rice, vegetables, spices, nuts","200g rice, 100g vegetables, 1 tsp spices, 50g nuts",Cook rice with vegetables and spices.,indian,vegetarian,dinner,rice vegetable spice nut
Rajma,"kidney beans, tomato, onion, spices","200g kidney beans, 2 tomatoes, 1 onion, 1 tsp spices",Cook kidney beans in spiced tomato gravy.,indian,vegetarian,dinner,kidney_bean tomato onion spice
Methi Thepla,"fenugreek leaves, flour, spices","50g fenugreek leaves, 100g flour, 1 tsp spices",Make flatbreads with fenugreek and spices.,indian,vegetarian,snack,fenugreek_leave flour spice
Daal Tadka,"lentils, spices, ghee, onion","200g lentils, 1 tsp spices, 2 tbsp ghee, 1 onion",Cook lentils with spices and temper with ghee.,indian,vegetarian,dinner,lentil spice ghee onion
Pesarattu,"green gram, rice, spices","100g green gram, 100g rice, 1 tsp spices",Make dosa with green gram and rice batter.,indian,vegetarian,breakfast,green_gram rice spice
Idli,"rice, urad dal, fermentation","200g rice, 100g urad dal",Steam fermented rice and urad dal batter.,indian,vegetarian,breakfast,rice urad_dal fermentation
Dosa,"rice, urad dal, fermentation","200g rice, 100g urad dal",Make crispy crepes with fermented batter.,indian,vegetarian,breakfast,rice urad_dal fermentation
Uttapam,"rice, urad dal, vegetables","200g rice, 100g urad dal, 50g vegetables",Make thick pancakes with fermented batter and vegetables.,indian,vegetarian,breakfast,rice urad_dal vegetable
Upma,"semolina, vegetables, spices","100g semolina, 100g vegetables, 1 tsp spices",Cook semolina with vegetables and spices.,indian,vegetarian,breakfast,semolina vegetable spice
Poha,"flattened rice, onion, mustard seeds, turmeric, peas","200g flattened rice, 1 onion, 1 tsp mustard seeds, 1 tsp turmeric, 100g peas",Cook flattened rice with spices and vegetables.,indian,vegetarian,breakfast,flatten_rice onion mustard_seed turmeric pea
Aloo Paratha,"potato, flour, spices","3 potatoes, 200g flour, 1 tsp spices",Make stuffed flatbreads with spiced potato filling.,indian,vegetarian,breakfast,potato flour spice
Paneer Paratha,"paneer, flour, spices","100g paneer, 200g flour, 1 tsp spices",Make stuffed flatbreads with spiced paneer filling.,indian,vegetarian,breakfast,paneer flour spice
Methi Paratha,"fenugreek leaves, flour, spices","50g fenugreek leaves, 200g flour, 1 tsp spices",Make flatbreads with fenugreek and spices.,indian,vegetarian,breakfast,fenugreek_leave flour spice
Baida Roti,"egg, flour, spices","2 eggs, 200g flour, 1 tsp spices",Make stuffed flatbreads with spiced egg filling.,indian,non-vegetarian,breakfast,egg flour spice
Kathi Roll,"roti, vegetables/meat, sauces","2 roti, 200g vegetables/meat, 2 tbsp sauces",Wrap roti with filling and sauces.,indian,non-vegetarian,lunch,roti vegetable_meat sauce
Burger,"burger bun, patty, lettuce, tomato, cheese","2 burger buns, 1 patty, 50g lettuce, 1 tomato, 2 slices cheese",Assemble burger with patty and toppings.,western,non-vegetarian,lunch,burger_bun patty lettuce tomato cheese
Pizza,"pizza base, cheese, tomato sauce, toppings","1 pizza base, 100g cheese, 2 tbsp tomato sauce, 100g toppings",Bake pizza with cheese and toppings.,western,vegetarian,dinner,pizza_base cheese tomato_sauce topping
Lasagna,"pasta sheets, cheese, meat/vegetables, tomato sauce","200g pasta sheets, 100g cheese, 200g meat/vegetables, 2 tbsp tomato sauce","Layer pasta with cheese and sauce, bake until golden.",western,non-vegetarian,dinner,pasta_sheet cheese meat_vegetable tomato_sauce
Spaghetti,"spaghetti, tomato sauce, garlic, herbs","200g spaghetti, 2 tbsp tomato sauce, 3 cloves garlic, 1 tsp herbs",Cook spaghetti and toss with sauce.,western,vegetarian,dinner,spaghetti tomato_sauce garlic herb
Fried Rice,"rice, vegetables, soy sauce, eggs","200g rice, 100g vegetables, 2 tbsp soy sauce, 2 eggs",Stir fry rice with vegetables and soy sauce.,chinese,vegetarian,lunch,rice vegetable soy_sauce egg
Kung Pao Chicken,"chicken, peanuts, vegetables, soy sauce","300g chicken, 50g peanuts, 100g vegetables, 2 tbsp soy sauce",Stir fry chicken with peanuts and vegetables.,chinese,non-vegetarian,dinner,chicken peanut vegetable soy_sauce
Sweet and Sour Pork,"pork, pineapple, bell pepper, soy sauce","300g pork, 100g pineapple, 1 bell pepper, 2 tbsp soy sauce",Cook pork with sweet and sour sauce.,chinese,non-vegetarian,dinner,pork pineapple capsicum soy_sauce
Mapo Tofu,"tofu, ground pork, chili bean paste, garlic","200g tofu, 100g ground pork, 2 tbsp chili bean paste, 2 cloves garlic",Cook tofu with ground pork and spices.,chinese,non-vegetarian,dinner,tofu ground_pork chili_bean_paste garlic
Egg Fried Rice,"rice, eggs, vegetables, soy sauce","200g rice, 2 eggs, 100g vegetables, 2 tbsp soy sauce",Stir fry rice with eggs and vegetables.,chinese,vegetarian,lunch,rice egg vegetable soy_sauce
Hot and Sour Soup,"tofu, mushrooms, bamboo shoots, vinegar","200g tofu, 100g mushrooms, 50g bamboo shoots, 2 tbsp vinegar",Simmer ingredients in broth with vinegar.,chinese,vegan,lunch,tofu mushroom bamboo_shoot vinegar
Dim Sum,"dumpling wrappers, meat/vegetables, soy sauce","50 dumpling wrappers, 200g meat/vegetables, 2 tbsp soy sauce",Steam dumplings with filling and serve.,chinese,non-vegetarian,snack,dumple_wrapper meat_vegetable soy_sauce
Spring Rolls,"spring roll wrappers, vegetables, soy sauce","20 spring roll wrappers, 100g vegetables, 2 tbsp soy sauce","Fill wrappers with vegetables, roll and fry.",chinese,vegan,snack,spring_roll_wrapper vegetable soy_sauce
Banh Mi,"baguette, pickled vegetables, meat/tofu, cilantro, chili sauce","2 baguettes, 100g pickled vegetables, 150g meat/tofu, 2 tbsp cilantro, 1 tbsp chili sauce",Assemble baguette with fillings and sauces.,vietnamese,non-vegetarian,lunch,baguette pickle_vegetable meat_tofu cilantro chili_sauce
Pho,"rice noodles, broth, meat/vegetables, herbs","200g rice noodles, 500ml broth, 150g meat/vegetables, 50g herbs",Cook noodles in broth with toppings.,vietnamese,non-vegetarian,dinner,rice_noodle broth meat_vegetable herb
Ceviche,"fish, lime juice, onion, cilantro, chili","200g fish, 2 tbsp lime juice, 1 onion, 2 tbsp cilantro, 1 chili",Marinate fish in lime juice with vegetables.,peruvian,non-vegetarian,appetizer,fish lime_juice onion cilantro chili pepper
Lomo Saltado,"beef, tomatoes, onions, soy sauce","200g beef, 2 tomatoes, 1 onion, 2 tbsp soy sauce",Stir fry beef with vegetables and soy sauce.,peruvian,non-vegetarian,dinner,beef tomato onion soy_sauce
Causa,"potatoes, lime, avocado, tuna","4 potatoes, 1 lime, 1 avocado, 100g tuna",Layer mashed potatoes with avocado and tuna.,peruvian,vegetarian,dinner,potato lime avocado tuna
Tiradito,"fish, lime juice, chili, sweet potato","200g fish, 2 tbsp lime juice, 1 chili, 2 sweet potatoes",Marinate fish in lime juice with chili and serve with sweet potato.,peruvian,non-vegetarian,appetizer,fish lime_juice chili pepper sweet_potato
Arroz con Pollo,"rice, chicken, vegetables, spices","200g rice, 300g chicken, 100g vegetables, 1 tsp spices",Cook rice with chicken and vegetables.,peruvian,non-vegetarian,dinner,rice chicken vegetable spice
Anticuchos,"beef heart, vinegar, spices, skewers","200g beef heart, 2 tbsp vinegar, 1 tsp spices",Grill marinated beef heart skewers.,peruvian,non-vegetarian,snack,beef_heart vinegar spice skewer
Pisco Sour,"pisco, lime juice, simple syrup, egg white","50ml pisco, 2 tbsp lime juice, 2 tbsp simple syrup, 1 egg white",Shake ingredients and serve chilled.,peruvian,cocktail,drink,pisco lime_juice simple_syrup egg_white
Chicha Morada,"purple corn, pineapple, cinnamon, cloves","200g purple corn, 100g pineapple, 1 tsp cinnamon, 2 cloves",Boil ingredients and strain to make a drink.,peruvian,vegan,drink,purple_corn pineapple cinnamon clove
Causa Rellena,"potatoes, avocado, tuna, lime","4 potatoes, 1 avocado, 100g tuna, 1 lime",Layer mashed potatoes with avocado and tuna.,peruvian,vegetarian,dinner,potato avocado tuna lime
Tacu Tacu,"rice, beans, spices","200g rice, 100g beans, 1 tsp spices",Fry rice and beans with spices.,peruvian,vegetarian,dinner,rice bean spice
Seco de Cordero,"lamb, cilantro, beer, spices","300g lamb, 2 tbsp cilantro, 200ml beer, 1 tsp spices",Cook lamb in beer and cilantro sauce.,peruvian,non-vegetarian,dinner,lamb cilantro beer spice
Ají de Gallina,"chicken, ají amarillo, bread, milk","300g chicken, 1 tbsp ají amarillo, 2 slices bread, 200ml milk",Cook shredded chicken in ají sauce with bread and milk.,peruvian,non-vegetarian,dinner,chicken ají_amarillo bread milk
Sopa Seca,"spaghetti, cilantro, spices, vegetables","200g spaghetti, 1 tbsp cilantro, 1 tsp spices, 100g vegetables",Cook spaghetti with cilantro and spices.,peruvian,vegetarian,dinner,spaghetti cilantro spice vegetable
Arroz Chaufa,"rice, chicken/vegetables, soy sauce, eggs","200g rice, 100g chicken/vegetables, 2 tbsp soy sauce, 2 eggs",Stir fry rice with chicken/vegetables and soy sauce.,peruvian,non-vegetarian,lunch,rice chicken_vegetable soy_sauce egg
Pollo a la Brasa,"chicken, spices, wood chips","1 chicken, 2 tbsp spices, 100g wood chips",Grill marinated chicken with wood chips.,peruvian,non-vegetarian,dinner,chicken spice wood_chip
Tarta de Santiago,"almonds, sugar, eggs, lemon","200g almonds, 100g sugar, 2 eggs, 1 lemon",Bake almond cake and dust with powdered sugar.,spanish,vegetarian,dessert,almond sugar egg lemon
Pulpo a la Gallega,"octopus, potatoes, paprika, olive oil","300g octopus, 4 potatoes, 1 tsp paprika, 2 tbsp olive oil","Boil octopus, serve with potatoes and paprika.",spanish,non-vegetarian,dinner,octopus potato paprika olive_oil
Calamares en Salsa,"squid, tomato, onion, spices","200g squid, 2 tomatoes, 1 onion, 1 tsp spices",Cook squid in tomato sauce with spices.,spanish,non-vegetarian,dinner,squid tomato onion spice
Berenjenas Rellenas,"eggplant, ground meat, tomato, cheese","200g eggplant, 300g ground meat, 2 tomatoes, 100g cheese",Bake eggplants stuffed with meat and cheese.,spanish,non-vegetarian,dinner,eggplant ground_meat tomato cheese
Albondigas,"meatballs, tomato sauce, spices","200g meatballs, 200ml tomato sauce, 1 tsp spices",Cook meatballs in tomato sauce.,spanish,non-vegetarian,dinner,meatball tomato_sauce spice
Arroz con Leche,"rice, milk, sugar, cinnamon","200g rice, 500ml milk, 100g sugar, 1 tsp cinnamon",Cook rice in milk with sugar and cinnamon.,spanish,vegetarian,dessert,rice milk sugar cinnamon
Flan,"milk, sugar, eggs, vanilla","500ml milk, 100g sugar, 4 eggs, 1 tsp vanilla",Bake custard and caramelize top.,spanish,vegetarian,dessert,milk sugar egg vanilla
Paella Valenciana,"rice, chicken, rabbit, vegetables, saffron","200g rice, 150g chicken, 150g rabbit, 100g vegetables, 1 tsp saffron",Cook rice with saffron and meats.,spanish,non-vegetarian,dinner,rice chicken rabbit vegetable saffron
Tortilla de Patatas,"potatoes, eggs, onion","4 potatoes, 4 eggs, 1 onion","Cook potatoes and onion, mix with eggs and fry.",spanish,vegetarian,dinner,potato egg onion
Croquetas,"flour, milk, ham/vegetables, breadcrumbs","200g flour, 100ml milk, 100g ham/vegetables, 50g breadcrumbs",Make croquettes with filling and breadcrumbs.,spanish,vegetarian,snack,flour milk ham_vegetable breadcrumb
Churros,"flour, sugar, cinnamon, chocolate","200g flour, 100g sugar, 1 tsp cinnamon, 100g chocolate",Fry dough and serve with chocolate sauce.,spanish,vegetarian,dessert,flour sugar cinnamon chocolate
Flan,"milk, sugar, eggs, vanilla","500ml milk, 100g sugar, 4 eggs, 1 tsp vanilla",Bake custard and caramelize top.,spanish,vegetarian,dessert,milk sugar egg vanilla
Paella Valenciana,"rice, chicken, rabbit, vegetables, saffron","200g rice, 150g chicken, 150g rabbit, 100g vegetables, 1 tsp saffron",Cook rice with saffron and meats.,spanish,non-vegetarian,dinner,rice chicken rabbit vegetable saffron
Tortilla de Patatas,"potatoes, eggs, onion","4 potatoes, 4 eggs, 1 onion","Cook potatoes and onion, mix with eggs and fry.",spanish,vegetarian,dinner,potato egg onion
Pisto,"vegetables, tomato, olive oil","200g vegetables, 2 tomatoes, 2 tbsp olive oil",Cook vegetables in olive oil and serve.,spanish,vegan,lunch,vegetable tomato olive_oil
Luchi Alur Dom,"maida, potato, tomato, ginger, garam masala, salt, oil","2 cups maida, 3 medium potatoes, 1 tomato, 1 tsp grated ginger, 1/2 tsp garam masala, salt to taste, oil for frying","Knead maida with water and a pinch of salt into soft dough. Rest 20 mins. Roll into small discs and deep fry into puffed luchis. For alur dom, boil potatoes and cut into cubes. Sauté tomatoes and ginger in oil, add potatoes, garam masala, and cook covered for 10 minutes.",bengali,vegetarian,breakfast,maida potato tomato ginger garam_masala salt oil
Begun Bhaja,"eggplant, turmeric, salt, mustard oil","1 large eggplant, 1/2 tsp turmeric, salt to taste, 2 tbsp mustard oil",Slice eggplant into 1/2 inch rounds. Rub with turmeric and salt. Let rest 10 minutes. Heat mustard oil in a pan and shallow fry slices until golden on both sides. Serve hot.,bengali,vegan,lunch,eggplant turmeric salt mustard_oil
Macher Jhol,"rohu fish, potato, tomato, turmeric, mustard oil, salt","4 pieces rohu fish, 2 potatoes, 1 tomato, 1/2 tsp turmeric, salt to taste, 2 tbsp mustard oil","Marinate fish with salt and turmeric. Fry lightly and set aside. In mustard oil, fry sliced potatoes and tomato. Add turmeric and water to make gravy. Add fish and simmer covered for 10 minutes until cooked.",bengali,non-vegetarian,lunch,rohu_fish potato tomato turmeric mustard_oil salt
Cholar Dal,"chana dal, coconut, ginger, bay leaf, ghee, salt","1 cup chana dal, 2 tbsp grated coconut, 1 tsp grated ginger, 1 bay leaf, 1 tbsp ghee, salt to taste","Boil chana dal until soft. In ghee, sauté bay leaf and ginger. Add coconut and stir. Pour in cooked dal, season with salt, and simmer for 5–7 minutes. Serve warm.",bengali,vegetarian,dinner,chana_dal coconut ginger bay_leaf ghee salt
Mishti Doi,"milk, sugar, yogurt","1 liter full-fat milk, 1/2 cup sugar, 2 tbsp plain yogurt",Boil milk and reduce to 3/4th. Add caramelized sugar and cool until lukewarm. Stir in yogurt and pour into clay pots. Cover and let set in a warm place for 6–8 hours or overnight.,bengali,vegetarian,dessert,milk sugar yogurt
Patishapta,"flour, rice flour, coconut, jaggery, milk, cardamom","1 cup flour, 1/4 cup rice flour, 1 cup grated coconut, 1/2 cup jaggery, 1 cup milk, 1/2 tsp cardamom powder","Make batter with flour, rice flour, and milk. For filling, cook coconut, jaggery, and cardamom powder in a pan until mixed. Make thin crepes on a non-stick pan, fill with coconut mix, roll and serve warm or chilled.",bengali,vegetarian,snack,flour rice_flour coconut jaggery milk cardamom
Shutki Bhuna,"dry fish, onion, garlic, chili, mustard oil, turmeric, salt","200g dry fish, 2 onions, 4 garlic cloves, 2 green chilies, 2 tbsp mustard oil, 1/2 tsp turmeric, salt to taste","Wash and soak dry fish briefly. Fry dry fish in mustard oil until crisp and set aside. In same pan, sauté chopped onion, garlic, and chilies. Add turmeric, salt, and fried fish. Cook for 10 minutes until well combined and aromatic.",bengali,non-vegetarian,dinner,dry_fish onion garlic chili pepper mustard_oil turmeric salt
Dhokar Dalna,"chana dal, ginger, asafoetida, tomato, garam masala, oil, salt","1 cup chana dal, 1 tsp grated ginger, pinch of asafoetida, 1 tomato, 1/2 tsp garam masala, 2 tbsp oil, salt to taste","Soak chana dal and grind to a paste. Cook with ginger, asafoetida, and salt. Spread and cool on a greased plate, then cut into squares. Fry until golden. For gravy, sauté tomato in oil, add garam masala, and water. Add fried lentil cakes and simmer for 10 minutes.",bengali,vegetarian,lunch,chana_dal ginger asafoetida tomato garam_masala oil salt
Shukto,"bitter gourd, raw banana, potato, drumstick, mustard paste, milk, mustard oil","1 bitter gourd, 1 raw banana, 1 potato, 1 drumstick, 1 tbsp mustard paste, 1/4 cup milk, 2 tbsp mustard oil","Cut vegetables into sticks. Fry bitter gourd separately. In mustard oil, cook other vegetables. Add mustard paste, water, and simmer. Add milk at the end and stir gently. Cook until all veggies are soft but not mushy.",bengali,vegan,lunch,bitter_gourd raw_banana potato drumstick mustard_paste milk mustard_oil
Mochar Ghonto,"banana blossom, potato, coconut, mustard oil, spices, ginger, salt","1 banana blossom, 1 potato, 2 tbsp grated coconut, 2 tbsp mustard oil, 1/2 tsp panch phoron, 1 tsp grated ginger, salt to taste","Clean and boil chopped banana blossom. In mustard oil, fry potato cubes. Add panch phoron, ginger, and boiled mocha. Add salt and grated coconut. Cook covered for 10–12 minutes, stirring occasionally.",bengali,vegan,lunch,banana_blossom potato coconut mustard_oil spice ginger salt
Paturi,"bhetki fish, mustard paste, banana leaf, mustard oil, salt, green chili","4 pieces bhetki fish, 2 tbsp mustard paste, 2 banana leaves, 2 tbsp mustard oil, salt to taste, 2 green chilies","Marinate fish with mustard paste, salt, and green chili. Place each piece on a banana leaf brushed with oil, fold tightly. Steam or cook in covered pan for 15–20 minutes until fish is tender and infused with flavor.",bengali,non-vegetarian,lunch,bhetki_fish mustard_paste banana_leaf mustard_oil salt green_chili
Panta Bhaat,"leftover rice, onion, chili, salt, mustard oil, water","1 cup cooked rice, 1/2 onion (sliced), 1 green chili, salt to taste, 1 tsp mustard oil, water as needed","Soak leftover rice in water overnight. Drain slightly before serving. Top with sliced onion, chili, salt, and drizzle mustard oil. Traditionally served with fried fish or mashed veggies.",bengali,vegan,breakfast,leftover_rice onion chili pepper salt mustard_oil water
Dim Curry,"egg, onion, tomato, garlic, turmeric, chili powder, salt, oil","4 boiled eggs, 2 onions, 2 tomatoes, 2 garlic cloves, 1/2 tsp turmeric, 1/2 tsp chili powder, salt to taste, 2 tbsp oil","Boil and peel eggs. In oil, sauté chopped onions and garlic until golden. Add tomatoes, turmeric, chili powder, and salt. Cook till soft. Add eggs and simmer in the gravy for 8–10 minutes. Serve hot.",bengali,non-vegetarian,lunch,egg onion tomato garlic turmeric chili_powder salt oil
Kosha Mangsho,"mutton, onion, garlic, yogurt, spices, mustard oil, ginger, salt","500g mutton, 2 onions, 4 garlic cloves, 1/4 cup yogurt, 2 tbsp mustard oil, 1 tsp ginger paste, 1 tsp garam masala, salt to taste","Marinate mutton with yogurt, ginger-garlic paste, and spices for 1 hour. In mustard oil, fry onions till golden. Add marinated mutton and cook on medium heat, stirring often, for 1.5–2 hours until tender and gravy thickens.",bengali,non-vegetarian,dinner,mutton onion garlic yogurt spice mustard_oil ginger salt
Pui Shaak Chingri,"malabar spinach, prawn, mustard oil, spices, garlic, salt","2 cups chopped malabar spinach, 200g prawns, 2 tbsp mustard oil, 1/2 tsp turmeric, 1/2 tsp chili powder, 2 garlic cloves, salt to taste","Clean prawns and marinate with turmeric and salt. In mustard oil, sauté garlic, then add prawns and fry briefly. Add chopped pui shaak and spices. Cook covered for 10–12 minutes until soft and flavorful.",bengali,non-vegetarian,lunch,malabar_spinach prawn mustard_oil spice garlic salt
